Crop_enc,State_enc,Season_enc,Year_int,Area,Production,Yield
21,1,0,2010,0.08,0.24,2851.0
21,2,0,2010,17.97,39.74,2211.0
21,2,1,2010,9.75,39.08,4007.0
21,3,0,2010,1.22,2.34,1925.0
21,4,0,2010,21.72,39.06,1799.0
21,4,1,2010,3.99,8.3,2082.0
21,5,0,2010,27.44,29.17,1063.0
21,5,1,2010,0.89,1.85,2085.0
21,7,0,2010,37.03,61.59,1663.0
21,8,0,2010,0.11,0.21,1930.0
21,9,0,2010,0.02,0.03,1650.0
21,10,0,2010,0.07,0.2,2787.0
21,11,0,2010,0.31,0.72,2358.0
21,11,1,2010,0.16,0.43,2677.0
21,12,0,2010,7.28,14.24,1956.0
21,12,1,2010,0.8,0.73,908.0
21,13,0,2010,12.45,34.72,2789.0
21,14,0,2010,0.77,1.29,1673.0
21,15,0,2010,2.61,5.08,1942.0
21,16,0,2010,7.2,11.1,1541.0
21,17,0,2010,11.3,30.57,2705.0
21,17,1,2010,4.1,11.31,2759.0
21,18,0,2010,1.62,3.85,2377.0
21,18,1,2010,0.51,1.37,2689.0
21,20,0,2010,16.03,17.72,1106.0
21,21,0,2010,14.86,26.25,1766.0
21,21,1,2010,0.32,0.71,2219.0
21,22,0,2010,2.13,5.22,2453.0
21,23,0,2010,0.95,1.6,1671.0
21,23,1,2010,0.13,0.47,3705.0
21,24,0,2010,0.41,0.47,1160.0
21,25,0,2010,1.81,3.81,2102.0
21,26,0,2010,39.33,59.61,1516.0
21,26,1,2010,2.93,8.67,2959.0
21,28,0,2010,0.15,0.39,2561.0
21,28,1,2010,0.05,0.13,2712.0
21,29,0,2010,28.31,108.37,3828.0
21,30,0,2010,1.31,2.66,2025.0
21,31,0,2010,0.12,0.21,1727.0
21,32,0,2010,17.43,51.68,2965.0
21,32,1,2010,1.63,6.25,3838.0
21,33,0,2010,11.25,35.36,3143.0
21,33,1,2010,8.54,30.0,3514.0
21,34,0,2010,1.99,5.19,2602.0
21,34,1,2010,0.65,1.83,2817.0
21,35,0,2010,56.42,119.57,2119.0
21,35,1,2010,0.15,0.35,2322.0
21,36,0,2010,2.74,4.98,1820.0
21,36,1,2010,0.16,0.52,3309.0
21,37,0,2010,35.74,88.83,2485.0
21,37,1,2010,13.7,41.63,3039.0
21,0,0,2010,380.18,806.07,2120.0
21,0,1,2010,48.45,153.63,3171.0
13,2,0,2010,0.49,2.03,4148.0
13,2,1,2010,1.84,16.82,9140.0
13,3,0,2010,0.39,0.55,1397.0
13,3,1,2010,0.06,0.1,1690.0
13,4,0,2010,0.2,0.14,722.0
13,5,0,2010,2.31,4.18,1806.0
13,5,1,2010,4.14,10.22,2467.0
13,7,0,2010,1.03,1.86,1807.0
13,12,0,2010,4.23,6.92,1636.0
13,12,1,2010,0.78,1.28,1645.0
13,13,0,2010,0.1,0.19,1900.0
13,14,0,2010,2.96,6.71,2263.0
13,15,0,2010,3.08,5.28,1712.0
13,16,0,2010,2.07,2.45,1181.0
13,16,1,2010,0.08,0.17,2061.0
13,17,0,2010,11.41,40.11,3515.0
13,17,1,2010,1.47,4.33,2946.0
13,20,0,2010,8.31,10.52,1266.0
13,21,0,2010,7.31,22.09,3022.0
13,21,1,2010,1.6,3.93,2456.0
13,22,0,2010,0.22,0.42,1856.0
13,23,0,2010,0.17,0.26,1499.0
13,24,0,2010,0.09,0.13,1502.0
13,25,0,2010,0.68,1.34,1958.0
13,26,0,2010,1.13,2.86,2540.0
13,26,1,2010,0.05,0.13,2778.0
13,29,0,2010,1.33,4.91,3692.0
13,30,0,2010,11.43,20.53,1796.0
13,31,0,2010,0.4,0.66,1648.0
13,32,0,2010,1.44,5.55,3858.0
13,32,1,2010,0.87,4.73,5452.0
13,33,0,2010,3.91,14.38,3677.0
13,33,1,2010,1.2,6.33,5277.0
13,34,0,2010,0.03,0.04,1322.0
13,35,0,2010,7.48,10.98,1468.0
13,35,1,2010,0.06,0.16,2667.0
13,36,0,2010,0.28,0.43,1503.0
13,37,0,2010,0.32,0.84,2588.0
13,37,1,2010,0.56,2.69,4773.0
13,0,0,2010,72.82,166.37,2285.0
13,0,1,2010,12.71,50.88,4003.0
17,2,0,2010,1.75,3.79,2167.0
17,2,1,2010,2.63,18.26,6942.0
17,3,0,2010,0.61,0.75,1229.0
17,3,1,2010,0.06,0.1,1690.0
17,4,0,2010,0.25,0.17,678.0
17,5,0,2010,2.53,4.38,1727.0
17,5,1,2010,4.34,10.47,2412.0
17,7,0,2010,2.78,2.3,829.0
17,7,1,2010,0.03,0.02,533.0
17,8,0,2010,0.02,0.03,1492.0
17,10,0,2010,0.06,0.12,1922.0
17,12,0,2010,10.43,12.31,1181.0
17,12,1,2010,5.1,8.71,1708.0
17,13,0,2010,7.43,12.4,1669.0
17,13,1,2010,0.37,1.29,3486.0
17,14,0,2010,3.04,6.76,2222.0
17,14,1,2010,0.22,0.28,1242.0
17,15,0,2010,3.34,5.42,1623.0
17,15,1,2010,0.13,0.09,651.0
17,16,0,2010,2.42,2.62,1083.0
17,16,1,2010,0.08,0.17,2061.0
17,17,0,2010,24.22,61.98,2559.0
17,17,1,2010,12.3,16.47,1339.0
17,18,0,2010,0.03,0.01,530.0
17,20,0,2010,16.77,20.61,1229.0
17,20,1,2010,0.8,1.05,1313.0
17,21,0,2010,29.76,48.45,1628.0
17,21,1,2010,31.9,24.79,777.0
17,22,0,2010,0.22,0.42,1856.0
17,23,0,2010,0.2,0.28,1415.0
17,24,0,2010,0.09,0.13,1502.0
17,25,0,2010,0.79,1.44,1818.0
17,26,0,2010,2.07,3.48,1684.0
17,26,1,2010,0.05,0.13,2644.0
17,29,0,2010,1.36,4.94,3632.0
17,29,1,2010,0.12,0.44,3667.0
17,30,0,2010,73.76,71.38,968.0
17,30,1,2010,3.28,9.55,2911.0
17,31,0,2010,0.48,0.74,1559.0
17,31,1,2010,0.01,0.01,938.0
17,32,0,2010,4.81,9.81,2041.0
17,32,1,2010,1.51,5.75,3820.0
17,33,0,2010,5.18,15.56,3003.0
17,33,1,2010,1.81,6.83,3775.0
17,34,0,2010,0.03,0.04,1322.0
17,35,0,2010,18.93,28.68,1515.0
17,35,1,2010,1.68,3.5,2081.0
17,36,0,2010,2.32,3.05,1312.0
17,36,1,2010,0.24,0.3,1250.0
17,37,0,2010,0.46,0.99,2169.0
17,37,1,2010,0.58,2.72,4656.0
17,0,0,2010,216.13,323.05,1495.0
17,0,1,2010,67.25,110.92,1649.0
3,1,0,2010,0.09,0.24,2843.0
3,2,0,2010,19.72,43.53,2208.0
3,2,1,2010,12.39,57.35,4627.0
3,3,0,2010,1.83,3.09,1692.0
3,3,1,2010,0.1,0.16,1653.0
3,4,0,2010,21.97,39.23,1786.0
3,4,1,2010,4.44,8.83,1991.0
3,5,0,2010,29.97,33.55,1119.0
3,5,1,2010,26.26,53.3,2029.0
3,7,0,2010,39.8,63.89,1605.0
3,7,1,2010,1.14,1.28,1128.0
3,8,0,2010,0.13,0.23,1868.0
3,9,0,2010,0.02,0.04,1609.0
3,10,0,2010,0.13,0.31,2383.0
3,10,1,2010,0.26,1.11,4335.0
3,11,0,2010,0.31,0.72,2346.0
3,11,1,2010,0.16,0.43,2677.0
3,12,0,2010,17.71,26.55,1499.0
3,12,1,2010,18.64,49.63,2663.0
3,13,0,2010,19.88,47.12,2370.0
3,13,1,2010,25.52,117.59,4608.0
3,14,0,2010,3.81,8.05,2111.0
3,14,1,2010,3.8,5.74,1513.0
3,15,0,2010,5.96,10.5,1763.0
3,15,1,2010,3.04,4.55,1496.0
3,16,0,2010,9.62,13.72,1426.0
3,16,1,2010,1.05,1.75,1675.0
3,17,0,2010,35.52,92.55,2606.0
3,17,1,2010,18.95,30.57,1613.0
3,18,0,2010,1.65,3.87,2348.0
3,18,1,2010,0.51,1.37,2689.0
3,20,0,2010,32.8,38.33,1169.0
3,20,1,2010,44.21,77.32,1749.0
3,21,0,2010,44.62,74.7,1674.0
3,21,1,2010,45.29,48.51,1071.0
3,22,0,2010,2.35,5.63,2396.0
3,22,1,2010,0.02,0.05,2500.0
3,23,0,2010,1.15,1.87,1628.0
3,23,1,2010,0.13,0.48,3648.0
3,24,0,2010,0.49,0.6,1221.0
3,25,0,2010,2.61,5.26,2016.0
3,25,1,2010,0.04,0.06,1687.0
3,26,0,2010,41.39,63.09,1524.0
3,26,1,2010,3.01,8.84,2940.0
3,28,0,2010,0.15,0.39,2560.0
3,28,1,2010,0.05,0.13,2712.0
3,29,0,2010,29.67,113.31,3819.0
3,29,1,2010,35.22,165.16,4689.0
3,30,0,2010,75.07,74.03,986.0
3,30,1,2010,28.07,81.69,2910.0
3,31,0,2010,0.6,0.95,1593.0
3,31,1,2010,0.03,0.03,1006.0
3,32,0,2010,22.24,61.49,2765.0
3,32,1,2010,3.13,12.0,3829.0
3,33,0,2010,16.43,50.92,3099.0
3,33,1,2010,10.44,36.95,3541.0
3,34,0,2010,2.03,5.23,2583.0
3,34,1,2010,0.65,1.84,2813.0
3,35,0,2010,75.35,148.25,1968.0
3,35,1,2010,98.2,303.85,3094.0
3,36,0,2010,5.06,8.03,1587.0
3,36,1,2010,4.19,9.61,2292.0
3,37,0,2010,36.2,89.82,2481.0
3,37,1,2010,17.45,53.09,3042.0
3,0,0,2010,596.31,1129.12,1893.0
3,0,1,2010,406.38,1133.29,2789.0
34,2,0,2010,2.97,1.14,383.0
34,3,0,2010,0.01,0.01,833.0
34,4,0,2010,0.07,0.05,718.0
34,5,0,2010,0.26,0.37,1404.0
34,7,0,2010,0.55,0.24,440.0
34,8,0,2010,0.02,0.02,801.0
34,12,0,2010,2.77,2.73,986.0
34,13,0,2010,0.25,0.27,1080.0
34,16,0,2010,1.04,0.71,686.0
34,17,0,2010,8.91,5.29,594.0
34,18,0,2010,0.02,0.03,1490.0
